"LEAGUE","NAME","DY+/-","PLAYER ID","POS","SEASON","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","S%","TG","TP1","TP","TP/GP","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"Slovakia U20","Adrian Valigura","DY+3","45943/adrian-valigura","F","2022","20","1.3000","0.3500","1.8000","17","9","3","26","2","5","1","7","2","1","0","0","0.00","0","0.00","103","20.39","21","36","40","2.0000","57.58","37","7","84.09","25.36","37","26","19.21","5.6211","2001-03-02","21.54","21.83","26","POP","6'03","L","2019","-","-","-",""
"Slovakia U20","Michael Drabek","DY+3","49815/michael-drabek","F","2022","5","1.6000","0.0000","1.8000","5","3","1","8","0","0","1","0","1","0","0","0","0.00","0","0.00","18","33.33","6","9","11","2.2000","62.50","11","2","84.62","37.25","9","10","17.23","6.2682","2001-08-02","21.12","21.41","59","MMN","6'00","L","2019","-","-","-",""
"QMJHL","Mavrik Bourque","DY+2","45337/mavrik-bourque","F","2022","31","0.9355","0.7419","1.7097","12","17","6","29","8","15","9","23","0","1","0","0","0.00","0","0.00","150","13.33","20","53","68","2.1935","38.46","40","17","70.18","14.62","40","32","23.72","4.3239","2002-01-08","20.69","20.98","22","SHA","5'11","R","2020","DAL (2020) - #30","DAL","DAL",""
"MHL","Matvei Michkov","DY-1","50535/matvei-michkov","F","2022","28","0.9286","0.7143","1.6786","18","8","1","26","11","9","3","20","1","0","0","0","0.00","0","0.00","185","16.22","30","47","51","1.8214","63.04","34","15","69.39","0.78","59","27","20.59","4.8910","2004-12-09","17.77","18.06","39","SKA-SP/SKA-VM","5'10","L","2023","-","-","-",""
"Sweden U20","Liam Ohgren","DY","50382/liam-ohgren","F","2022","30","1.4667","0.2000","1.6667","28","16","3","44","5","1","5","6","0","0","0","0","0.00","0","0.00","0","0.00","33","50","58","1.9333","66.00","59","18","76.62","24.24","44","40","20.38","4.9060","2004-01-28","18.63","18.93","28","DIF","6'01","L","2022","-","-","-",""
"Czechia U20","Adam Mechura","DY+1","49993/adam-mechura","F","2022","43","1.0465","0.4186","1.6047","33","12","9","45","17","1","7","18","5","1","0","0","0.00","0","0.00","0","0.00","55","69","85","1.9767","79.37","68","40","62.96","2.38","83","54","19.32","4.9823","2003-01-31","19.63","19.92","22","LIB","6'04","L","2021","-","-","-",""
"Slovakia U20","Jakub Dzivjak","DY+2","55587/jakub-dzivjak","F","2022","12","1.0000","0.2500","1.5833","4","8","5","12","1","2","2","3","2","2","0","0","0.00","0","0.00","47","14.89","7","19","26","2.1667","33.33","19","4","82.61","20.11","20","12","20.12","4.7210","2001-11-16","20.83","21.13","19","POP","5'09","L","2020","-","-","-",""
"Slovakia U20","Richard Nemec","DY+2","55621/richard-nemec","F","2022","15","1.2667","0.2000","1.5333","10","9","4","19","2","1","5","3","0","1","0","0","0.00","0","0.00","83","14.46","12","23","32","2.1333","54.55","26","13","66.67","25.36","19","27","19.82","4.6411","2002-05-24","20.31","20.60","22","SKM","5'11","L","2020","-","-","-",""
"Slovakia U20","Oleksandr Plokhotnik","DY+2","55585/oleksandr-plokhotnik","F","2022","42","1.0714","0.3333","1.5238","23","22","6","45","3","11","6","14","1","4","1","0","0.00","0","0.00","124","21.77","27","64","77","1.8333","44.07","59","13","81.94","23.75","71","51","17.69","5.1697","2002-07-05","20.19","20.49","12","KOS","6'00","L","2020","-","-","-",""
"Czechia U20","Lubomir Kupco","DY+1","50108/lubomir-kupco","F","2022","31","1.1290","0.3226","1.5161","19","16","6","35","4","6","3","10","1","1","0","0","0.00","0","0.00","0","0.00","24","47","56","1.8065","51.11","48","24","66.67","4.50","46","28","19.94","4.5628","2003-03-05","19.53","19.82","88","KVA","5'11","L","2021","-","-","-",""
"AHL","Lias Andersson","DY+5","40406/lias-andersson","F","2022","4","0.7500","0.7500","1.5000","3","0","0","3","3","0","0","3","0","0","0","0","0.00","0","0.00","16","37.50","6","6","6","1.5000","100.00","4","2","66.67","- 3.33","7","3","21.86","4.1165","1998-10-13","23.92","24.22","23","ONT","5'11","L","2017","NYR (2017) - #7","NYR","LAK",""
"Finland U20","Rasmus Heljanko","DY+4","42961/rasmus-heljanko","F","2022","4","1.2500","0.2500","1.5000","5","0","1","5","1","0","1","1","0","0","0","0","0.00","0","0.00","21","28.57","6","6","8","2.0000","100.00","7","3","70.00","20.00","6","6","16.63","5.4119","2000-02-27","22.55","22.84","42","HIFK","5'10","R","2018","-","-","-",""
"Sweden U20","Daniel Ljungman","DY+2","46235/daniel-ljungman","F","2022","2","1.5000","0.0000","1.5000","0","3","1","3","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","0","3","4","2.0000","0.00","7","0","100.00","25.00","3","1","25.15","3.5786","2002-04-03","20.45","20.74","35","LHC","6'00","L","2020","DAL (2020) - #154","DAL","DAL",""
"MHL","Nikita Chibrikov","DY+1","46766/nikita-chibrikov","F","2022","4","1.2500","0.2500","1.5000","4","1","0","5","0","1","0","1","0","0","0","0","0.00","0","0.00","24","16.67","4","6","6","1.5000","66.67","8","1","88.89","17.46","10","4","17.44","5.1613","2003-02-16","19.58","19.88","91","SKA-SP","5'10","L","2021","WPG (2021) - #50","WPG","WPG",""
"Czechia U20","Tomas Urban","DY+2","49799/tomas-urban","F","2022","10","1.0000","0.4000","1.5000","5","5","3","10","3","1","3","4","1","0","0","0","0.00","0","0.00","0","0.00","9","15","21","2.1000","57.14","15","8","65.22","15.22","17","17","19.12","4.7063","2002-02-20","20.57","20.86","15","PCE","5'11","L","2020","-","-","-",""
"Slovakia U20","David Kocka","DY+1","53837/david-kocka","F","2022","2","1.0000","0.5000","1.5000","1","1","0","2","1","0","0","1","0","0","0","0","0.00","0","0.00","2","100.00","2","3","3","1.5000","66.67","4","0","100.00","54.55","5","6","15.28","5.8886","2003-04-10","19.43","19.73","12","SKM","6'01","L","2021","-","-","-",""
"Slovakia U20","Marian Pazitka","DY+2","55747/marian-pazitka","F","2022","2","1.5000","0.0000","1.5000","1","2","0","3","0","0","0","0","0","0","0","0","0.00","0","0.00","1","100.00","1","3","3","1.5000","33.33","3","1","75.00","32.14","3","4","12.31","7.3123","2002-04-26","20.39","20.68","7","ZIM","UNKNOWN","L","2020","-","-","-",""
"Sweden U20","Lucas Angelstrom","DY","56383/lucas-angelstrom","F","2022","2","1.5000","0.0000","1.5000","3","0","1","3","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","3","3","4","2.0000","100.00","5","0","100.00","50.00","2","2","17.54","5.1297","2004-05-08","18.35","18.65","82","LIF","5'11","R","2022","-","-","-",""
"OHL","Wyatt Johnston","DY+1","49016/wyatt-johnston","F","2022","68","0.9853","0.4118","1.4559","31","36","11","67","12","16","14","28","3","1","0","0","0.00","0","0.00","259","17.76","46","99","124","1.8235","45.26","100","68","59.52","9.32","125","124","21.61","4.0430","2003-05-14","19.34","19.63","55","WSR","6'02","R","2021","DAL (2021) - #23","DAL","DAL",""
"OHL","Luke Evangelista","DY+2","45440/luke-evangelista","F","2022","62","0.9194","0.3871","1.4355","42","15","12","57","8","16","10","24","5","3","0","0","0.00","0","0.00","340","16.18","55","89","111","1.7903","61.73","85","48","63.91","14.44","93","95","24.22","3.5567","2002-02-21","20.57","20.86","14","LDN","6'00","R","2020","NSH (2020) - #42","NSH","NSH",""
"Czechia U20","Lukas Nezbeda","DY+1","49833/lukas-nezbeda","F","2022","46","0.8043","0.4783","1.4348","13","24","18","37","4","18","8","22","2","5","0","0","0.00","0","0.00","0","0.00","19","66","92","2.0000","28.81","79","43","64.75","3.88","84","54","19.65","4.3808","2002-11-06","19.86","20.15","8","LIB","5'09","L","2021","-","-","-",""
"OHL","Rory Kerins","DY+2","45537/rory-kerins","F","2022","67","0.9403","0.4627","1.4328","31","32","9","63","12","19","13","31","0","2","0","0","0.00","0","0.00","264","16.29","43","96","118","1.7612","45.74","88","73","54.66","2.28","110","100","22.09","3.8925","2002-04-12","20.43","20.72","23","SOO","5'11","L","2020","CGY (2020) - #174","CGY","CGY",""
"Sweden U20","Leo Carlsson","DY-1","50368/leo-carlsson","F","2022","14","1.1429","0.2857","1.4286","8","8","2","16","2","2","5","4","0","0","0","0","0.00","0","0.00","0","0.00","10","20","27","1.9286","50.00","23","6","79.31","21.81","23","17","21.58","3.9717","2004-12-26","17.72","18.01","23","OHK","6'02","L","2023","-","-","-",""
"Slovakia U20","Adam Lukosik","DY+2","56419/adam-lukosik","F","2022","7","1.1429","0.1429","1.4286","5","3","3","8","1","0","0","1","1","0","0","0","0.00","0","0.00","40","17.50","7","10","13","1.8571","66.67","16","6","72.73","22.73","13","13","18.15","4.7233","2002-02-06","20.61","20.90","71","SBA","6'00","L","2020","-","-","-",""
"QMJHL","Joshua Roy","DY+1","46666/joshua-roy","F","2022","66","0.9394","0.4697","1.4242","37","25","12","62","14","17","12","31","0","1","1","0","0.00","0","0.00","311","16.40","51","94","119","1.8030","54.84","93","46","66.91","10.62","103","80","22.21","3.8483","2003-08-06","19.11","19.40","10","SHE","6'00","L","2021","MTL (2021) - #150","MTL","MTL",""
"Sweden U20","Albert Sjoberg","DY+1","47474/albert-sjoberg","F","2022","12","0.9167","0.5000","1.4167","8","3","1","11","4","2","1","6","0","0","0","0","0.00","0","0.00","0","0.00","12","17","19","1.5833","70.59","16","8","66.67","19.17","19","21","18.90","4.4977","2003-03-19","19.49","19.78","23","SSK","6'00","R","2021","DAL (2021) - #207","DAL","DAL",""
"WHL","Connor Bedard","DY-1","50397/connor-bedard","F","2022","62","0.9677","0.4194","1.4032","37","23","4","60","13","13","9","26","1","0","0","0","0.00","0","0.00","326","15.64","51","87","100","1.6129","58.14","76","72","51.35","10.88","68","100","19.72","4.2690","2005-07-17","17.16","17.46","98","REG","5'09","R","2023","-","-","-",""
"Finland U20","Niclas Tenhovuori","DY+2","47261/niclas-tenhovuori","F","2022","15","1.0000","0.4000","1.4000","7","8","3","15","1","5","1","6","0","0","0","0","0.00","0","0.00","39","20.51","8","21","25","1.6667","38.10","22","12","64.71","5.13","28","19","19.44","4.3203","2002-05-28","20.30","20.59","14","JOK","6'03","R","2020","-","-","-",""
"WHL","Logan Stankoven","DY+1","46110/logan-stankoven","F","2022","59","1.0339","0.2881","1.3898","32","29","10","61","10","7","12","17","3","1","0","0","0.00","0","0.00","322","13.98","45","82","104","1.7627","53.85","83","38","68.60","5.12","106","61","18.82","4.4304","2003-02-26","19.55","19.85","11","KAM","5'08","R","2021","DAL (2021) - #47","DAL","DAL",""
"MHL","Patriks Zabusovs","DY+3","44944/patriks-zabusovs","F","2022","8","1.1250","0.2500","1.3750","6","3","0","9","2","0","1","2","0","0","0","0","0.00","0","0.00","41","19.51","8","11","12","1.5000","72.73","12","4","75.00","52.27","5","17","20.74","3.9787","2001-06-20","21.24","21.53","98","RIG","6'01","L","2019","-","-","-",""
"Sweden U20","Oscar Tellstrom","DY+2","47725/oscar-tellstrom","F","2022","16","1.0625","0.3125","1.3750","11","6","1","17","3","2","3","5","0","0","0","0","0.00","0","0.00","0","0.00","14","22","26","1.6250","63.64","23","13","63.89","23.46","19","28","19.31","4.2726","2002-07-17","20.16","20.46","20","LHF","6'00","L","2020","-","-","-",""
"Czechia U20","Robin Kaplan","DY+2","53748/robin-kaplan","F","2022","49","1.0204","0.3061","1.3673","28","22","8","50","5","10","3","15","2","0","0","0","0.00","0","0.00","0","0.00","35","67","78","1.5918","50.77","65","44","59.63","11.25","60","64","19.31","4.2495","2002-03-22","20.48","20.78","22","PCE","5'10","L","2020","-","-","-",""
"QMJHL","William Dufour","DY+2","45391/william-dufour","F","2022","66","0.9394","0.3939","1.3636","35","27","18","62","20","6","8","26","1","1","0","0","0.00","0","0.00","312","17.95","56","90","116","1.7576","62.50","105","52","66.88","9.09","115","84","21.41","3.8208","2002-01-28","20.63","20.93","28","SNB","6'03","R","2020","NYI (2020) - #152","NYI","NYI",""
"Finland U20","Juraj Slafkovsky","DY","47741/juraj-slafkovsky","F","2022","11","1.0909","0.1818","1.3636","3","9","0","12","2","0","3","2","1","0","0","0","0.00","0","0.00","37","16.22","6","15","18","1.6364","35.71","15","10","60.00","- 6.67","24","12","20.75","3.9439","2004-03-30","18.46","18.75","60","TPS","6'04","L","2022","-","-","-",""
"Slovakia U20","Andrej Krajcovic","DY+2","55711/andrej-krajcovic","F","2022","11","1.1818","0.1818","1.3636","8","5","4","13","1","1","0","2","0","0","0","0","0.00","0","0.00","41","21.95","9","15","19","1.7273","60.00","19","4","82.61","8.32","26","9","17.25","4.7429","2002-08-25","20.06","20.35","24","TRE","UNKNOWN","L","2020","-","-","-",""
"Finland U20","Ilari Vahauski","DY+4","42745/ilari-vahauski","F","2022","14","1.1429","0.2143","1.3571","8","8","0","16","2","1","1","3","0","0","0","0","0.00","0","0.00","53","18.87","10","19","20","1.4286","52.63","17","12","58.62","18.62","16","24","20.61","3.9515","2000-01-25","22.64","22.93","12","TUTO","6'04","L","2018","-","-","-",""
"Finland U20","Elias Koponen","DY+2","51197/elias-koponen","F","2022","17","0.8824","0.4706","1.3529","9","6","2","15","7","1","2","8","0","0","0","0","0.00","0","0.00","80","20.00","16","23","27","1.5882","69.57","22","13","62.86","11.91","27","26","19.86","4.0874","2002-08-24","20.06","20.35","22","KAL","5'10","L","2020","-","-","-",""
"Czechia U20","Jakub Maly","DY+2","49808/jakub-maly","F","2022","41","0.9512","0.2683","1.3415","17","22","12","39","9","2","5","11","3","2","0","0","0.00","0","0.00","0","0.00","29","55","72","1.7561","52.00","65","25","72.22","32.40","45","68","20.03","4.0180","2002-04-01","20.46","20.75","16","KOM","5'11","L","2020","-","-","-",""
"QMJHL","Zachary Bolduc","DY+1","46505/zachary-bolduc","F","2022","65","0.9846","0.3231","1.3385","39","25","9","64","14","7","3","21","2","0","0","0","0.00","0","0.00","263","20.91","55","87","99","1.5231","62.35","93","39","70.45","4.45","132","68","19.31","4.1593","2003-02-24","19.56","19.85","15","QUE","6'01","L","2021","STL (2021) - #17","STL","STL",""
"AHL","Brandon Pirri","DY+13","25099/brandon-pirri","F","2022","3","1.3333","0.0000","1.3333","3","1","0","4","0","0","0","0","0","0","0","0","0.00","0","0.00","10","30.00","3","4","4","1.3333","75.00","5","1","83.33","6.41","10","3","18.54","4.3147","1991-04-10","31.43","31.73","73","RFD","6'01","L","2009","CHI (2009) - #59","CHI","-",""
"Finland U20","Joel Lammi","DY+4","43262/joel-lammi","D","2022","3","1.0000","0.3333","1.3333","0","3","1","3","0","1","0","1","0","0","0","0","0.00","0","0.00","5","0.00","0","4","5","1.6667","0.00","5","3","62.50","- 17.50","4","1","25.96","3.0817","2000-04-14","22.42","22.71","44","TUTO","6'00","L","2018","-","-","-",""
"QMJHL","Xavier Simoneau","DY+3","44835/xavier-simoneau","F","2022","48","0.9167","0.3125","1.3333","20","24","15","44","2","13","7","15","2","3","0","0","0.00","0","0.00","119","20.17","24","64","86","1.7917","37.29","70","30","70.00","14.03","75","59","20.68","3.8681","2001-05-19","21.32","21.62","81","CHA","5'07","L","2019","MTL (2021) - #191","MTL","MTL",""
"QMJHL","Felix Lafrance","DY+3","44948/felix-lafrance","F","2022","48","0.7708","0.5000","1.3333","22","15","9","37","11","13","6","24","1","2","0","0","0.00","0","0.00","189","17.99","34","64","79","1.6458","54.10","61","45","57.55","0.67","91","69","21.46","3.7275","2001-06-21","21.23","21.53","71","CHI/BAT","5'09","R","2019","-","-","-",""
"Finland U20","Yegor Chizhikov","DY+3","44981/yegor-chizhikov","F","2022","3","1.3333","0.0000","1.3333","3","1","0","4","0","0","0","0","0","0","0","0","0.00","0","0.00","10","30.00","3","4","4","1.3333","75.00","5","1","83.33","52.08","5","11","21.37","3.7441","2001-07-04","21.20","21.49","57","KET","6'01","L","2019","-","-","-",""
"Finland U20","Jani Nyman","DY","47584/jani-nyman","F","2022","3","1.0000","0.3333","1.3333","1","2","0","3","1","0","0","1","0","0","0","0","0.00","0","0.00","10","20.00","2","4","4","1.3333","50.00","6","3","66.67","2.38","9","5","20.73","3.8585","2004-07-30","18.13","18.42","11","ILV","6'03","L","2022","-","-","-",""
"Czechia U20","Daniel Ministr","DY+1","49809/daniel-ministr","F","2022","24","0.8333","0.3750","1.3333","11","9","4","20","5","4","1","9","2","1","0","0","0.00","0","0.00","0","0.00","18","32","37","1.5417","55.17","28","21","57.14","19.44","23","38","19.14","4.1794","2002-12-20","19.74","20.03","7","OLO","6'01","L","2021","-","-","-",""
"Czechia U20","Jakub Zajicek","DY+2","53746/jakub-zajicek","F","2022","49","0.9388","0.3061","1.3265","25","21","11","46","6","9","8","15","2","2","0","0","0.00","0","0.00","0","0.00","33","65","84","1.7143","50.82","84","45","65.12","7.50","87","64","19.07","4.1738","2002-07-13","20.17","20.47","88","LIB","5'07","L","2020","-","-","-",""
"WHL","Ben King","DY+2","45573/ben-king","F","2022","68","0.7059","0.6176","1.3235","28","20","8","48","24","18","7","42","0","0","0","0","0.00","0","0.00","275","18.91","52","90","105","1.5441","57.78","84","45","65.12","10.57","96","80","17.69","4.4881","2002-05-15","20.33","20.63","14","RD","6'03","R","2020","-","-","-",""
"QMJHL","Xavier Parent","DY+3","44624/xavier-parent","F","2022","65","0.8154","0.4769","1.3231","32","21","8","53","17","14","12","31","2","0","0","0","0.00","0","0.00","296","17.23","51","86","106","1.6308","58.33","83","47","63.85","4.86","105","73","22.13","3.5875","2001-03-23","21.48","21.77","11","SHE","5'08","L","2019","-","-","-",""
"Finland U20","Eetu Liukas","DY+1","45701/eetu-liukas","F","2022","13","0.3846","0.8462","1.3077","1","4","3","5","9","2","0","11","0","1","0","0","0.00","0","0.00","64","15.63","10","17","20","1.5385","62.50","15","12","55.56","- 3.97","25","17","22.23","3.5290","2002-09-25","19.97","20.27","10","TPS","6'02","L","2021","NYI (2021) - #157","NYI","NYI",""
"WHL","Dylan Guenther","DY+1","45758/dylan-guenther","F","2022","59","0.8475","0.3729","1.3051","29","21","10","50","13","9","3","22","3","2","1","0","0.00","0","0.00","296","15.20","45","77","91","1.5424","58.33","78","31","71.56","9.76","110","68","17.97","4.3575","2003-04-10","19.43","19.73","11","EDM","6'01","R","2021","ARI (2021) - #9","ARI","ARI",""
"Slovakia U20","Marek Sramaty","DY+1","53257/marek-sramaty","F","2022","17","1.0000","0.0588","1.2941","13","4","4","17","0","1","1","1","3","1","0","0","0.00","0","0.00","80","20.00","16","22","27","1.5882","72.22","26","14","65.00","8.86","32","25","17.56","4.4224","2003-02-09","19.60","19.89","18","MMN","5'11","R","2021","-","-","-",""
"Slovakia U20","Alex Sotek","DY","55584/alex-sotek","F","2022","17","1.0588","0.1765","1.2941","9","9","4","18","0","3","5","3","1","0","0","0","0.00","0","0.00","56","17.86","10","22","31","1.8235","42.86","23","6","79.31","24.41","28","23","17.06","4.5517","2004-02-09","18.60","18.89","25","POP/RSR/SBA","6'00","R","2022","-","-","-",""
"Finland U20","Joona Veikkola","DY+2","46640/joona-veikkola","F","2022","7","0.8571","0.2857","1.2857","4","2","0","6","2","0","0","2","0","1","0","0","0.00","0","0.00","19","31.58","6","9","9","1.2857","75.00","6","3","66.67","8.97","15","11","14.70","5.2468","2002-09-03","20.03","20.33","43","ILV","6'00","L","2020","-","-","-",""
"MHL","Nikita Buruyanov","DY+1","46770/nikita-buruyanov","F","2022","39","0.8462","0.3333","1.2821","23","10","1","33","3","10","6","13","2","2","0","0","0.00","0","0.00","214","13.08","28","50","57","1.4615","56.52","40","19","67.80","12.35","56","45","21.89","3.5140","2002-10-02","19.95","20.25","14","MHK-DSP","5'10","L","2021","-","-","-",""
"Slovakia U20","Lukas Vaculik","DY+2","55586/lukas-vaculik","F","2022","40","0.8000","0.3250","1.2750","16","16","10","32","4","9","5","13","3","3","0","0","0.00","0","0.00","181","12.71","23","51","66","1.6500","44.44","51","17","75.00","13.94","69","44","18.31","4.1775","2002-05-21","20.32","20.61","15","KOS","5'10","R","2020","-","-","-",""
"Finland U20","Aatu Jamsen","DY+2","47094/aatu-jamsen","F","2022","11","1.0000","0.1818","1.2727","5","6","3","11","0","2","1","2","1","0","0","0","0.00","0","0.00","37","16.22","6","14","18","1.6364","38.46","17","3","85.00","23.10","26","16","19.46","3.9247","2002-07-22","20.15","20.44","86","PEL","6'02","L","2020","LAK (2020) - #190","LAK","LAK",""
"Finland U20","Oliver Kapanen","DY+1","47818/oliver-kapanen","F","2022","11","0.8182","0.3636","1.2727","5","4","1","9","2","2","0","4","0","1","0","0","0.00","0","0.00","43","16.28","7","14","15","1.3636","53.85","11","8","57.89","- 4.27","23","14","20.46","3.7322","2003-07-29","19.13","19.42","10","KAL","6'00","R","2021","MTL (2021) - #64","MTL","MTL",""
"Czechia U20","Daniel Hercik","DY+1","50003/daniel-hercik","F","2022","48","0.7917","0.4167","1.2708","20","18","6","38","14","6","4","20","1","2","0","0","0.00","0","0.00","0","0.00","35","61","71","1.4792","58.62","51","44","53.68","- 1.71","77","62","17.84","4.2743","2003-05-16","19.33","19.63","13","PCE","6'01","R","2021","-","-","-",""
"MHL","Kirill Kadyshev","DY+2","46805/kirill-kadyshev","F","2022","26","0.8462","0.3846","1.2692","12","10","3","22","6","4","3","10","1","0","0","0","0.00","0","0.00","92","20.65","19","33","39","1.5000","56.25","33","11","75.00","22.22","38","34","18.51","4.1136","2002-03-27","20.47","20.76","13","BMC","5'10","L","2020","-","-","-",""
"Czechia U20","Sebastian Malat","DY+2","49826/sebastian-malat","F","2022","15","0.8667","0.3333","1.2667","9","4","1","13","4","1","3","5","1","0","0","0","0.00","0","0.00","0","0.00","14","19","23","1.5333","72.22","20","14","58.82","- 12.61","30","12","18.51","4.1068","2002-02-14","20.59","20.88","21","PLZ","6'00","L","2020","-","-","-",""
"WHL","Arshdeep Bains","DY+3","44290/arshdeep-bains","F","2022","68","0.8382","0.4265","1.2647","30","27","12","57","13","16","14","29","0","0","0","0","0.00","0","0.00","216","19.91","43","86","112","1.6471","50.00","80","41","66.12","11.77","100","84","16.63","4.5624","2001-01-09","21.68","21.98","20","RD","6'01","L","2019","-","-","VAN",""
"Slovakia U20","Adam Stransky","DY+1","49987/adam-stransky","F","2022","39","0.8718","0.3077","1.2564","21","13","9","34","7","5","2","12","2","1","0","0","0.00","0","0.00","183","16.39","30","49","60","1.5385","60.87","54","24","69.23","15.57","66","57","16.89","4.4629","2002-11-05","19.86","20.16","7","TRE","6'00","L","2021","-","-","-",""
"QMJHL","Xavier Bourgault","DY+1","45716/xavier-bourgault","F","2022","43","0.6744","0.5814","1.2558","19","10","9","29","17","8","12","25","0","0","0","0","0.00","0","0.00","181","19.89","36","54","75","1.7442","66.67","51","21","70.83","31.21","42","64","21.52","3.5020","2002-10-22","19.90","20.19","98","SHA","6'00","R","2021","EDM (2021) - #22","EDM","EDM",""
"Finland U20","Kalle Myllymaa","DY+2","45492/kalle-myllymaa","F","2022","28","0.7143","0.5000","1.2500","7","13","7","20","3","11","3","14","1","0","0","0","0.00","0","0.00","69","15.94","11","35","45","1.6071","29.41","40","22","64.52","- 7.82","68","26","19.34","3.8773","2002-03-25","20.47","20.77","23","ASS","5'10","L","2020","-","-","-",""
